epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
52,90.4297,0.31905,0.34288,0.85191,0.99683,1,0.995,0.8938,0.45307,0.27063,0.88707,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,92.1107,0.31805,0.34046,0.87382,0.99709,1,0.995,0.89222,0.44971,0.25762,0.87941,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,93.7819,0.30551,0.33004,0.85354,0.99686,1,0.995,0.89173,0.44582,0.25821,0.87648,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,95.4577,0.32545,0.34157,0.86274,0.99657,1,0.995,0.88823,0.45122,0.27637,0.87247,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,97.1338,0.31368,0.3391,0.84485,0.9513,0.95455,0.94698,0.88545,0.43045,0.26614,0.86759,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,98.8079,0.28392,0.30821,0.835,0.95131,0.95455,0.94698,0.88704,0.4349,0.2688,0.87075,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,100.48,0.31429,0.32409,0.85911,0.95145,0.95455,0.94289,0.88215,0.45381,0.28009,0.86611,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,102.171,0.2915,0.31022,0.84819,0.99686,1,0.995,0.88824,0.45167,0.26805,0.86224,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,103.847,0.29182,0.32592,0.85561,0.95141,0.95455,0.94879,0.88964,0.43127,0.25911,0.8574,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
61,105.517,0.28761,0.30651,0.85078,0.95233,0.95455,0.95289,0.87918,0.4563,0.2554,0.86297,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
62,107.194,0.30235,0.3105,0.86166,0.95332,0.95455,0.95124,0.89296,0.46503,0.25268,0.87993,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
63,108.87,0.29427,0.30564,0.85066,0.95193,0.95455,0.95125,0.89318,0.43789,0.25259,0.86962,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
